profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,normalized_abs_error,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.3602728053304129,6,1947,CABIQAE_latentt,0.3705576314988458,0.010284826168432903,0.02854732862504151,9,0.24150979525479233
realistic,1,0.3,0.3602728053304129,6,1947,BIQAE,0.3880910796526412,0.02781827432222833,0.07721447167436264,3,0.19956171100348355
realistic,1,0.3,0.3602728053304129,6,1947,BAE,0.3459890226769147,0.014283782653498167,0.039647129736584595,7,6.081098731842709
realistic,1,0.3,0.3602728053304129,6,3846,CABIQAE_latentt,0.3675579219339661,0.007285116603553188,0.02022111160144844,9,0.47706557398558364
realistic,1,0.3,0.3602728053304129,6,3846,BIQAE,0.3878551496328873,0.027582344302474415,0.07655960676015536,15,0.394203564724909
realistic,1,0.3,0.3602728053304129,6,3846,BAE,0.35852543338228765,0.0017473719481252425,0.004850135570245707,11,12.012278234549083
realistic,1,0.3,0.3602728053304129,6,7595,CABIQAE_latentt,0.36251623593695154,0.0022434306065386433,0.006227032885485629,9,0.9420990729122485
realistic,1,0.3,0.3602728053304129,6,7595,BIQAE,0.3878551496328873,0.027582344302474415,0.07655960676015536,15,0.778464917858992
realistic,1,0.3,0.3602728053304129,6,7595,BAE,0.3552696352513274,0.005003170079085517,0.013887171068871038,11,23.72159469355181
realistic,1,0.3,0.3602728053304129,7,128,CABIQAE_latentt,0.43607981606303237,0.07580701073261947,0.210415578447825,1,0.017201761111047948
realistic,1,0.3,0.3602728053304129,7,128,BIQAE,0.36524141713209257,0.004968611801679679,0.013791248543233433,1,0.015219885712632768
realistic,1,0.3,0.3602728053304129,7,128,BAE,0.5788456375966364,0.21857283226622354,0.6066870133752291,1,0.4158494857146398
realistic,1,0.3,0.3602728053304129,7,253,CABIQAE_latentt,0.43607981606303237,0.07580701073261947,0.210415578447825,1,0.0340003559460557
realistic,1,0.3,0.3602728053304129,7,253,BIQAE,0.36524141713209257,0.004968611801679679,0.013791248543233433,1,0.0300830553538757
realistic,1,0.3,0.3602728053304129,7,253,BAE,0.5788456375966364,0.21857283226622354,0.6066870133752291,1,0.8219524991078427
realistic,1,0.3,0.3602728053304129,7,499,CABIQAE_latentt,0.43607981606303237,0.07580701073261947,0.210415578447825,1,0.06705999058135098
realistic,1,0.3,0.3602728053304129,7,499,BIQAE,0.3355735640492412,0.02469924128117168,0.06855705153354427,1,0.0593337732078418
realistic,1,0.3,0.3602728053304129,7,499,BAE,0.5788456375966364,0.21857283226622354,0.6066870133752291,1,1.6211632294656662
realistic,1,0.3,0.3602728053304129,7,986,CABIQAE_latentt,0.3560853900175493,0.004187415312863596,0.011622901453866992,3,0.1325073160585412
realistic,1,0.3,0.3602728053304129,7,986,BIQAE,0.38128012417477997,0.021007318844367073,0.05830947696732444,3,0.11724068213012429
realistic,1,0.3,0.3602728053304129,7,986,BAE,0.3505253356259264,0.009747469704486478,0.027055802048525122,5,3.203340569645585
realistic,1,0.3,0.3602728053304129,7,1947,CABIQAE_latentt,0.365322354268504,0.00504954893809112,0.014015903680157276,11,0.2616549131500809
realistic,1,0.3,0.3602728053304129,7,1947,BIQAE,0.38128012417477997,0.021007318844367073,0.05830947696732444,3,0.23150873033199995
realistic,1,0.3,0.3602728053304129,7,1947,BAE,0.3505253356259264,0.009747469704486478,0.027055802048525122,5,6.325460536612529
realistic,1,0.3,0.3602728053304129,7,3846,CABIQAE_latentt,0.36503427542789857,0.004761470097485676,0.01321629061932344,11,0.5168591658835188
