rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
4,5.0,0.2,800,CABIQAE_latentt,0.21087259111850581,0.010872591118505803,0.054362955592529016,25460
4,5.0,0.2,1600,BAE,0.17965030077342264,0.020349699226577367,0.10174849613288683,25460
4,5.0,0.2,1600,BIQAE,0.2172042707054396,0.01720427070543959,0.08602135352719795,25460
4,5.0,0.2,1600,CABIQAE_latentt,0.20030594309943256,0.0003059430994325485,0.0015297154971627425,25460
4,5.0,0.2,3200,BAE,0.19574574385976606,0.004254256140233947,0.021271280701169737,25460
4,5.0,0.2,3200,BIQAE,0.21035882572195808,0.010358825721958065,0.051794128609790324,25460
4,5.0,0.2,3200,CABIQAE_latentt,0.19273174761226694,0.007268252387733071,0.036341261938665353,25460
4,5.0,0.2,6400,BAE,0.1986174237466785,0.0013825762533214991,0.006912881266607496,25460
4,5.0,0.2,6400,BIQAE,0.21035882572195808,0.010358825721958065,0.051794128609790324,25460
4,5.0,0.2,6400,CABIQAE_latentt,0.18913926976525822,0.010860730234741794,0.05430365117370897,25460
4,5.0,0.2,12800,BAE,0.19585701774852943,0.004142982251470584,0.02071491125735292,25460
4,5.0,0.2,12800,BIQAE,0.21026384890632677,0.010263848906326756,0.05131924453163378,25460
4,5.0,0.2,12800,CABIQAE_latentt,0.19040161000264927,0.009598389997350742,0.04799194998675371,25460
1,5.0,0.8,200,BAE,0.804158101705195,0.004158101705194928,0.0051976271314936595,25580
1,5.0,0.8,200,BIQAE,0.7426271002802374,0.05737289971976267,0.07171612464970334,25580
1,5.0,0.8,200,CABIQAE_latentt,0.8123791935941036,0.012379193594103555,0.015473991992629443,25580
1,5.0,0.8,400,BAE,0.804158101705195,0.004158101705194928,0.0051976271314936595,25580
1,5.0,0.8,400,BIQAE,0.747903741846243,0.05209625815375707,0.06512032269219634,25580
1,5.0,0.8,400,CABIQAE_latentt,0.8160798230378143,0.0160798230378143,0.020099778797267875,25580
1,5.0,0.8,800,BAE,0.7816317155568904,0.018368284443109673,0.02296035555388709,25580
1,5.0,0.8,800,BIQAE,0.8060911757023506,0.006091175702350515,0.007613969627938144,25580
1,5.0,0.8,800,CABIQAE_latentt,0.8086465592401767,0.008646559240176654,0.010808199050220818,25580
1,5.0,0.8,1600,BAE,0.79100119113484,0.008998808865160024,0.01124851108145003,25580
1,5.0,0.8,1600,BIQAE,0.7977706471405688,0.002229352859431266,0.0027866910742890827,25580
1,5.0,0.8,1600,CABIQAE_latentt,0.8057462020776358,0.005746202077635765,0.007182752597044706,25580
1,5.0,0.8,3200,BAE,0.7863807613382916,0.013619238661708444,0.017024048327135555,25580
1,5.0,0.8,3200,BIQAE,0.7977706471405688,0.002229352859431266,0.0027866910742890827,25580
1,5.0,0.8,3200,CABIQAE_latentt,0.8036484725805304,0.0036484725805303597,0.00456059072566295,25580
1,5.0,0.8,6400,BAE,0.8047333078553659,0.004733307855365854,0.005916634819207317,25580
1,5.0,0.8,6400,BIQAE,0.7984374034218942,0.0015625965781058682,0.001953245722632335,25580
1,5.0,0.8,6400,CABIQAE_latentt,0.8048517974112503,0.004851797411250303,0.006064746764062878,25580
1,5.0,0.8,12800,BAE,0.7962698936106325,0.003730106389367549,0.004662632986709436,25580
1,5.0,0.8,12800,BIQAE,0.7998268367602612,0.0001731632397388161,0.0002164540496735201,25580
1,5.0,0.8,12800,CABIQAE_latentt,0.8062073134460237,0.0062073134460236545,0.007759141807529568,25580
2,5.0,0.8,200,BAE,0.8685112081564104,0.06851120815641032,0.0856390101955129,25540
2,5.0,0.8,200,BIQAE,0.7086578679481939,0.09134213205180619,0.11417766506475774,25540
2,5.0,0.8,200,CABIQAE_latentt,0.7778746380083755,0.022125361991624515,0.027656702489530643,25540
2,5.0,0.8,400,BAE,0.8343044761050604,0.03430447610506038,0.04288059513132547,25540
2,5.0,0.8,400,BIQAE,0.7086578679481939,0.09134213205180619,0.11417766506475774,25540
2,5.0,0.8,400,CABIQAE_latentt,0.7647750857088687,0.03522491429113139,0.04403114286391424,25540
2,5.0,0.8,800,BAE,0.7851153222462276,0.014884677753772446,0.018605847192215558,25540
2,5.0,0.8,800,BIQAE,0.7584703145815248,0.04152968541847524,0.05191210677309405,25540
2,5.0,0.8,800,CABIQAE_latentt,0.7628355853281319,0.03716441467186815,0.04645551833983519,25540
2,5.0,0.8,1600,BAE,0.8005838218997807,0.0005838218997806788,0.0007297773747258485,25540
2,5.0,0.8,1600,BIQAE,0.7647894299747393,0.035210570025260735,0.04401321253157592,25540
2,5.0,0.8,1600,CABIQAE_latentt,0.7819001056526612,0.01809989434733883,0.022624867934173537,25540
2,5.0,0.8,3200,BAE,0.7941788471577476,0.005821152842252486,0.007276441052815608,25540
2,5.0,0.8,3200,BIQAE,0.7647894299747393,0.035210570025260735,0.04401321253157592,25540
2,5.0,0.8,3200,CABIQAE_latentt,0.7896569614712183,0.010343038528781712,0.01292879816097714,25540
2,5.0,0.8,6400,BAE,0.7958726433485313,0.004127356651468794,0.005159195814335993,25540
2,5.0,0.8,6400,BIQAE,0.7640220817410679,0.03597791825893215,0.04497239782366519,25540
2,5.0,0.8,6400,CABIQAE_latentt,0.7942029205774268,0.005797079422573237,0.007246349278216546,25540
2,5.0,0.8,12800,BAE,0.8013922359550816,0.0013922359550815333,0.0017402949438519166,25540
2,5.0,0.8,12800,BIQAE,0.7640220817410679,0.03597791825893215,0.04497239782366519,25540
2,5.0,0.8,12800,CABIQAE_latentt,0.7977512007338796,0.002248799266120427,0.0028109990826505338,25540
