T,nll,delta_nll
724.7872340426,9156.3566483226,85.7353231066
726.0325406758,9155.5330666098,84.9117413938
727.2778473091,9154.7151973372,84.0938721212
728.5231539424,9153.9030070887,83.2816818726
729.7684605757,9153.0964626855,82.4751374694
731.0137672090,9152.2955311845,81.6742059684
732.2590738423,9151.5001798759,80.8788546599
733.5043804756,9150.7103762816,80.0890510655
734.7496871089,9149.9260881527,79.3047629367
735.9949937422,9149.1472834681,78.5259582521
737.2403003755,9148.3739304321,77.7526052161
738.4856070088,9147.6059974727,76.9846722567
739.7309136421,9146.8434532398,76.2221280238
740.9762202753,9146.0862666031,75.4649413871
742.2215269086,9145.3344066504,74.7130814344
743.4668335419,9144.5878426856,73.9665174695
744.7121401752,9143.8465442270,73.2252190109
745.9574468085,9143.1104810055,72.4891557895
747.2027534418,9142.3796229628,71.7582977468
748.4480600751,9141.6539402497,71.0326150336
749.6933667084,9140.9334032239,70.3120780079
750.9386733417,9140.2179824490,69.5966572330
752.1839799750,9139.5076486922,68.8863234762
753.4292866083,9138.8023729229,68.1810477068
754.6745932416,9138.1021263108,67.4808010947
755.9198998748,9137.4068802244,66.7855550084
757.1652065081,9136.7166062294,66.0952810134
758.4105131414,9136.0312760868,65.4099508708
759.6558197747,9135.3508617515,64.7295365355
760.9011264080,9134.6753353707,64.0540101547
762.1464330413,9134.0046692822,63.3833440661
763.3917396746,9133.3388360128,62.7175107967
764.6370463079,9132.6778082768,62.0564830608
765.8823529412,9132.0215589748,61.4002337587
767.1276595745,9131.3700611914,60.7487359754
768.3729662078,9130.7232881944,60.1019629784
