profile,phase,repetition,scenario_id,algorithm,algorithm_key,epsilon_target,objective_ry_offset,a_true,final_estimate,abs_error,rel_error,num_queries,elapsed_runtime_seconds,confidence_interval,max_queries_bae_target,n_shots,bae_kind,noise_profile
realistic,iterative,11,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.19180499468628986,0.0005385459063185216,0.00279991677734156,29056,5.853388999996241,"(0.18930863269842405, 0.1943013566741557)",nan,,hardware,realistic
realistic,iterative,11,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.18750041086383207,0.004843129728776319,0.02517958083673976,11136,2.303471699997317,"(0.1825238737385287, 0.19247694798913542)",nan,,hardware,realistic
realistic,iterative,11,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.1955226680783907,0.003179127485782307,0.01652838185253037,5120,0.9358064999978524,"(0.18811033013977074, 0.20293500601701067)",nan,,hardware,realistic
realistic,iterative,11,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18460988878626944,0.007733651806338948,0.04020749427046861,3456,0.7271639999817125,"(0.17571527011187876, 0.19350450746066014)",nan,,hardware,realistic
realistic,iterative,12,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.19322860853620993,0.0008850679436015474,0.00460149553696819,573184,103.21506149999914,"(0.1931286301584383, 0.19332858691398153)",nan,,hardware,realistic
realistic,iterative,12,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18974977109842883,0.002593769494179554,0.013485087599969192,67456,14.995637799991528,"(0.188756546882628, 0.19074299531422964)",nan,,hardware,realistic
realistic,iterative,12,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.18855834878344352,0.0037851918091648673,0.019679328962660933,27008,5.544417299999623,"(0.18608815173105744, 0.19102854583582962)",nan,,hardware,realistic
realistic,iterative,12,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.18778287272256003,0.004560667870048357,0.0237110529212314,10368,2.1016010999737773,"(0.18317044642381738, 0.19239529902130267)",nan,,hardware,realistic
realistic,iterative,12,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18954690887413317,0.0027966317184752176,0.01453977456096953,7424,1.2366062000219245,"(0.1835587738725125, 0.19553504387575382)",nan,,hardware,realistic
realistic,iterative,12,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.18617278325349434,0.006170757339114041,0.03208195773095371,4096,0.9226208999752998,"(0.17746881205930065, 0.19487675444768804)",nan,,hardware,realistic
realistic,iterative,13,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.19217021334915907,0.00017332724344931716,0.0009011336846316637,467072,86.6758342999965,"(0.19207039283018804, 0.19227003386813013)",nan,,hardware,realistic
realistic,iterative,13,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.19033136273316736,0.0020121778594410222,0.010461374752910983,82048,17.053698300005635,"(0.18933348438160563, 0.19132924108472907)",nan,,hardware,realistic
realistic,iterative,13,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.18805887557254247,0.004284665020065914,0.022276105591406435,18176,3.6642885000037495,"(0.18559239904859698, 0.19052535209648797)",nan,,hardware,realistic
